"visitor_id","visit_date","utm_source","utm_medium","utm_campaign","lead_id","created_at","amount","closing_reason","status_id"
d183fbda6f03b965a1cd1cee0a3f7b81a44b78ec,2023-06-01 14:39:00.000,yandex,cpc,base-frontend,"74450379",2023-06-30 14:36:31.000,201150,Успешная продажа,142
d31c95902f2d3183e7052c235ad72d82838e98c2,2023-06-01 10:44:00.000,yandex,cpc,freemium,"21579820",2023-06-19 15:28:22.000,188991,Успешная продажа,142
fd1438246c3b520c8dfa1aed4c73133c8ca10ab4,2023-06-01 14:57:00.000,yandex,cpc,base-frontend,"23169912",2023-06-14 06:13:44.000,180306,Успешная продажа,142
fd1438246c3b520c8dfa1aed4c73133c8ca10ab4,2023-06-01 14:57:00.000,yandex,cpc,prof-frontend,"23169912",2023-06-14 06:13:44.000,180306,Успешная продажа,142
b6ddcd9f994bad353f37b0c5f7115b66d07b10c2,2023-06-01 03:41:00.000,vk,cpc,prof-java,"50769366",2023-06-15 11:43:46.000,178800,Успешная продажа,142
d7583b6b8c06f2b20ddc7696eddddde22732628d,2023-06-01 15:46:00.000,yandex,cpc,prof-data-analytics,"41399181",2023-06-11 20:56:50.000,144244,Успешная продажа,142
"38b518ac99dd585a2a1e9ea206e9f142363a7644",2023-06-01 10:54:00.000,yandex,cpc,dod-python-java,"75245425",2023-06-20 20:39:27.000,134100,Успешная продажа,142
"38b518ac99dd585a2a1e9ea206e9f142363a7644",2023-06-01 10:54:00.000,yandex,cpc,freemium,"75245425",2023-06-20 20:39:27.000,134100,Успешная продажа,142
"38b518ac99dd585a2a1e9ea206e9f142363a7644",2023-06-01 10:54:00.000,yandex,cpc,prof-java,"75245425",2023-06-20 20:39:27.000,134100,Успешная продажа,142
e1b0e021e08c607ca8b0b4d47432a2ea9a32f418,2023-06-01 19:57:00.000,yandex,cpc,freemium,"49236063",2023-06-23 10:19:06.000,120000,Успешная продажа,142
